# Schottky from phonopy; factor=1.968750000000
# X_S = X_2G + X_cVac - factor * X_nodef
# T[K]  dF_vib[eV]  dU_vib[eV]  E_DFT[eV]  F_Schottky[eV]  U_Schottky[eV]  dS[eV/K]  dS[J/K/mol]  dCv[eV/K]  dCv[J/K/mol]
   1790.0000     -0.84136959      0.00123667      5.04300774      4.20163814      5.04424441  4.70729757e-04     45.41851896  -3.98354864e-07     -0.03843540
   1800.0000     -0.84607688      0.00123269      5.04300774      4.19693086      5.04424042  4.70727537e-04     45.41830481  -3.98459965e-07     -0.03844554
   1810.0000     -0.85078414      0.00122870      5.04300774      4.19222359      5.04423644  4.70725328e-04     45.41809168  -3.98470296e-07     -0.03844654
   1820.0000     -0.85549139      0.00122472      5.04300774      4.18751635      5.04423245  4.70723133e-04     45.41787989  -3.98387156e-07     -0.03843852
   1830.0000     -0.86019861      0.00122073      5.04300774      4.18280913      5.04422847  4.70720951e-04     45.41766936  -3.98214558e-07     -0.03842187
   1840.0000     -0.86490580      0.00121675      5.04300774      4.17810193      5.04422449  4.70718781e-04     45.41745994  -3.97961217e-07     -0.03839742
   1850.0000     -0.86961298      0.00121278      5.04300774      4.17339475      5.04422051  4.70716624e-04     45.41725185  -3.97628297e-07     -0.03836530
   1860.0000     -0.87432014      0.00120880      5.04300774      4.16868760      5.04421654  4.70714482e-04     45.41704518  -3.97218519e-07     -0.03832576
   1870.0000     -0.87902727      0.00120483      5.04300774      4.16398046      5.04421257  4.70712353e-04     45.41683980  -3.96738298e-07     -0.03827943
   1880.0000     -0.88373438      0.00120087      5.04300774      4.15927335      5.04420860  4.70710240e-04     45.41663584  -3.96189445e-07     -0.03822647
   1890.0000     -0.88844148      0.00119691      5.04300774      4.15456626      5.04420464  4.70708140e-04     45.41643324  -3.95573289e-07     -0.03816702
   1900.0000     -0.89314855      0.00119295      5.04300774      4.14985919      5.04420069  4.70706053e-04     45.41623191  -3.94896794e-07     -0.03810175
